comment_id,bim360_account_id,bim360_project_id,issue_id,comment_body,created_by,created_at
a026cf2d-7c76-4728-837c-dad0a7839fe3,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,156ed301-002d-4c5a-b04d-f3d7b9a8d055,Had PCE clean up there mess. The weekly toolbox talk was on Housekeeping.  See photo.,SGURJC6NT7BS,Wed Sep 25 2019 19:58:46 GMT+0000 (Coordinated Universal Time)
5df315a7-06f9-4018-8283-ca9bf27f27cb,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,e43e6444-d1d6-4b78-a9b6-fc2fbf00f992,Sorry Joe. I have a couple more pictures to upload on the other areas.,L248NLLCA8KU,Wed Sep 25 2019 16:38:25 GMT+0000 (Coordinated Universal Time)
9c9fbf34-5987-4abf-97a6-35b470487436,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,e9ca961f-2fa1-4502-b1a7-023e590c970b,The area was cleaned up. See photo,SGURJC6NT7BS,Wed Sep 25 2019 19:48:37 GMT+0000 (Coordinated Universal Time)
1214ea18-58bf-4297-996c-2994ffc34bfa,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,0ee58e25-db13-4a54-87a3-f4ce3f1aac79,this sleeve is installed in the core for the lighting,6CP8NR4JT8MK,Wed Sep 25 2019 19:56:24 GMT+0000 (Coordinated Universal Time)
a5aefa57-fef7-4d04-a455-f0163e9684ba,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,a0f4f3c2-1e69-4977-807e-f5166d934b62,"@{""type"": ""user"", ""id"": ""200802212014157"", ""name"": ""Tom Barabas""} New layout. Missing the bottom rebar on the left side.",JR7UJPQC36MF,Wed Sep 25 2019 16:57:06 GMT+0000 (Coordinated Universal Time)
df539600-97c1-4ac2-af6a-06e895fd7c94,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,110a397c-afe8-4cc0-ba0a-94b260f47d77,signed,6CP8NR4JT8MK,Wed Sep 25 2019 19:58:52 GMT+0000 (Coordinated Universal Time)
639d8b30-a4ee-439f-8109-f47b68457403,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,9eb5f04d-0f82-4a60-81b6-3cc7808972f2,I moved the heaters out of the egress path. See photos.,SGURJC6NT7BS,Wed Sep 25 2019 19:46:41 GMT+0000 (Coordinated Universal Time)
d4cae67a-8b34-44fc-b022-07ff44dd94bf,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,b020a7f1-bb28-4465-a5e7-69a23e48c285,this smurf was added encase we loose a conduit during the pour,6CP8NR4JT8MK,Wed Sep 25 2019 19:57:59 GMT+0000 (Coordinated Universal Time)
50f7713f-b96e-4d65-8909-52c2a9aac67e,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,6d3a739f-9547-4dcc-a8af-b7e939dbfb5a,The radio has been relocated to the wall with the plug in. See photo,SGURJC6NT7BS,Wed Sep 25 2019 19:38:36 GMT+0000 (Coordinated Universal Time)
7c2048e7-93f8-43fa-9260-e7a88418b9af,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,92a19a7d-fa56-4a83-986e-767f04ebda55,these cables will be run in the wall,6CP8NR4JT8MK,Wed Sep 25 2019 19:56:53 GMT+0000 (Coordinated Universal Time)
