issue_subtype_id,bim360_account_id,bim360_project_id,issue_type_id,issue_subtype,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
b0fa4b4f-c78a-4a61-abbe-988a5ee4bd9e,49df69ab-c266-4d49-951c-031b16f7a31f,4e2c86cb-9179-4fc0-9d42-807b5168dae8,b9f4a9a3-071b-4254-9293-36263f4eb30d,Existing Condition,true,System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),,
57406050-4b06-476a-8389-68177eb855f3,49df69ab-c266-4d49-951c-031b16f7a31f,4e2c86cb-9179-4fc0-9d42-807b5168dae8,b9f4a9a3-071b-4254-9293-36263f4eb30d,Building Code,true,System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),,
f30ccd96-8d03-4cbe-8ad5-04a0ab15373a,49df69ab-c266-4d49-951c-031b16f7a31f,4e2c86cb-9179-4fc0-9d42-807b5168dae8,b9f4a9a3-071b-4254-9293-36263f4eb30d,Work to Complete,true,System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),,
67969b97-dc78-49a2-b845-c296517e8d09,49df69ab-c266-4d49-951c-031b16f7a31f,4e2c86cb-9179-4fc0-9d42-807b5168dae8,b9f4a9a3-071b-4254-9293-36263f4eb30d,Client Feedback,true,System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),,
46bbed85-6d2c-4d1f-b3fd-2cfb9d3004c5,49df69ab-c266-4d49-951c-031b16f7a31f,4e2c86cb-9179-4fc0-9d42-807b5168dae8,b9f4a9a3-071b-4254-9293-36263f4eb30d,Requirement Change,true,System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),,
5ea3bedb-1729-477b-9e03-8699cf55b42b,49df69ab-c266-4d49-951c-031b16f7a31f,4e2c86cb-9179-4fc0-9d42-807b5168dae8,b9f4a9a3-071b-4254-9293-36263f4eb30d,Design,true,System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),System,Wed Sep 18 2019 19:38:30 GMT+0000 (Coordinated Universal Time),,
f16d52a2-da8e-484c-bb43-7e4505017655,49df69ab-c266-4d49-951c-031b16f7a31f,edba1d9d-84f0-4a35-a216-c6d051ce8ef3,adfe12f8-1ab9-49dd-8b05-9b380333fd1a,Safety Infraction,true,System,Fri Jan 18 2019 17:31:00 GMT+0000 (Coordinated Universal Time),System,Fri Jan 18 2019 17:31:00 GMT+0000 (Coordinated Universal Time),,
ac38f52d-353e-418f-bca4-b9023e6be8f2,49df69ab-c266-4d49-951c-031b16f7a31f,edba1d9d-84f0-4a35-a216-c6d051ce8ef3,adfe12f8-1ab9-49dd-8b05-9b380333fd1a,Safety,true,System,Fri Jan 18 2019 17:31:00 GMT+0000 (Coordinated Universal Time),System,Fri Jan 18 2019 17:31:00 GMT+0000 (Coordinated Universal Time),,
f436a8ba-ad2c-406f-8af9-38d929ac0d85,49df69ab-c266-4d49-951c-031b16f7a31f,ae68eff9-cf9c-47a2-bb95-05a516eeb3ac,314acf80-9da8-4213-9e62-9e4be6a40e17,Pre-Punch List,true,System,Fri Aug 09 2019 19:56:00 GMT+0000 (Coordinated Universal Time),System,Fri Aug 09 2019 19:56:00 GMT+0000 (Coordinated Universal Time),,
b5f38f47-b17c-4ebf-a11d-e1e5e790a2e4,49df69ab-c266-4d49-951c-031b16f7a31f,ae68eff9-cf9c-47a2-bb95-05a516eeb3ac,314acf80-9da8-4213-9e62-9e4be6a40e17,Punch List,true,System,Fri Aug 09 2019 19:56:00 GMT+0000 (Coordinated Universal Time),System,Fri Aug 09 2019 19:56:00 GMT+0000 (Coordinated Universal Time),,
3e8fee0d-48f9-404d-8bb5-1c2a1e7ee529,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Client Feedback,false,System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),System,Tue Jan 21 2020 14:14:16 GMT+0000 (Coordinated Universal Time),,
527639e6-6336-4a18-a79b-379b61eedf5f,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Building Code,false,System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),System,Tue Jan 21 2020 14:14:11 GMT+0000 (Coordinated Universal Time),,
37799e65-e1f2-478b-8e11-65aa311f0d51,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Existing Condition,true,System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),,
4107c18a-bf13-4c3b-ab8b-8e1f8259f7fc,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Work to Complete,true,System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),,
2e7223eb-b7a1-49a1-8b81-f8a7dab73fee,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Requirement Change,true,System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),,
