project_id,bim360_account_id,service
764f3519-6fc2-40de-acd2-e71275aa84e9,49df69ab-c266-4d49-951c-031b16f7a31f,modelCoordination
268c2bf2-1b67-4110-b091-c2ae77c566fe,49df69ab-c266-4d49-951c-031b16f7a31f,insight
268c2bf2-1b67-4110-b091-c2ae77c566fe,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
268c2bf2-1b67-4110-b091-c2ae77c566fe,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
087dca4c-0232-4667-852f-e88315c510ee,49df69ab-c266-4d49-951c-031b16f7a31f,insight
087dca4c-0232-4667-852f-e88315c510ee,49df69ab-c266-4d49-951c-031b16f7a31f,field
b91369c2-d2a2-423c-9755-14d71f38ed96,49df69ab-c266-4d49-951c-031b16f7a31f,insight
b91369c2-d2a2-423c-9755-14d71f38ed96,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
e6c4b36a-3f0a-4660-8f56-630755715b69,49df69ab-c266-4d49-951c-031b16f7a31f,insight
e6c4b36a-3f0a-4660-8f56-630755715b69,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
da86925c-4864-4e6a-84b8-6cb30884d18a,49df69ab-c266-4d49-951c-031b16f7a31f,insight
da86925c-4864-4e6a-84b8-6cb30884d18a,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
da86925c-4864-4e6a-84b8-6cb30884d18a,49df69ab-c266-4d49-951c-031b16f7a31f,projectManagement
6da88f3c-1862-4707-93e2-17d21741e53c,49df69ab-c266-4d49-951c-031b16f7a31f,insight
995e784a-8f75-45ab-af6d-736a12092c0e,49df69ab-c266-4d49-951c-031b16f7a31f,insight
6da88f3c-1862-4707-93e2-17d21741e53c,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
3e29bccd-23d4-4bce-b093-d064706877cb,49df69ab-c266-4d49-951c-031b16f7a31f,glue
e3b35ade-be04-4d19-a79a-81e3ba81179e,49df69ab-c266-4d49-951c-031b16f7a31f,insight
0ec4df4a-0d14-4fa4-be70-acd8e661f32f,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
0ec4df4a-0d14-4fa4-be70-acd8e661f32f,49df69ab-c266-4d49-951c-031b16f7a31f,insight
162fe9a7-d1b6-43a3-8324-6f6a6fcc7b71,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
ca3da437-631c-498d-acd7-6677a8f672ad,49df69ab-c266-4d49-951c-031b16f7a31f,glue
